T,counts,notes
1.055408387902979,117,blah
0.24232746400099314,828,blah
2.191149001701517,16,blah
0.7475662928150872,241,blah
3.3218056818330277,10,blah
0.4332942070388266,517,blah
1.7037054170442243,31,blah
0.9087639087843438,164,blah
1.393544308579202,56,blah
3.9890615456388314,10,blah
0.8146077974981338,205,blah
1.3543742023208982,60,blah
3.4457067901201923,10,blah
3.948879635416751,10,blah
3.3669608985410053,10,blah
3.8830319238425743,10,blah
1.519389019048253,43,blah
1.5753985257884153,39,blah
1.9871475039562196,20,blah
1.7318802607263177,29,blah
1.2710261038049566,72,blah
0.4109585043384021,546,blah
2.252487909434618,15,blah
2.040705588938346,19,blah
0.716885181751151,259,blah
3.5540510547317536,10,blah
3.4669569778989873,10,blah
0.04131226823883649,1362,blah
2.4321429560251553,13,blah
1.2777626118091359,71,blah
2.1948547668733878,16,blah
1.7289091537564092,30,blah
0.679898276501663,284,blah
1.4240276039865631,52,blah
1.2148244018160224,81,blah
2.358053884453518,14,blah
2.3960769142266063,13,blah
2.113321984387481,17,blah
3.121460592117847,10,blah
2.5530491951292404,12,blah
1.5956625494391878,37,blah
3.7239455140687494,10,blah
1.5359204625495333,42,blah
3.594378789881416,10,blah
1.4327831490241443,51,blah
3.577886153429674,10,blah
2.4005338626635804,13,blah
3.4662167031934725,10,blah
1.3905427118217122,56,blah
0.282165138788657,750,blah
0.0883328717543117,1212,blah
2.88973616973191,11,blah
1.448640833962926,50,blah
2.813504439315665,11,blah
3.1854983460248696,10,blah
0.9219791342546118,159,blah
1.789732210590949,27,blah
2.8093629558779565,11,blah
3.1515041930577286,10,blah
1.9567185415215622,21,blah
3.0100777887946872,10,blah
1.0616052426107632,115,blah
3.0725126796673408,10,blah
0.23557858481251603,842,blah
2.0323290194941332,19,blah
1.4164958599508783,53,blah
3.547682529459844,10,blah
1.2638038400917133,73,blah
3.0785592415436853,10,blah
3.425584197915171,10,blah
3.997492742329508,9,blah
2.920715289515945,11,blah
0.6791137430359564,284,blah
1.072019048764643,112,blah
3.513399512542846,10,blah
